Date,Open,High,Low,Close,Adj Close,Volume
08-04-2022,119.349998,120.900002,118,120.349998,116.867104,1775412
11-04-2022,121,122.650002,119.599998,120.349998,116.867104,1159675
12-04-2022,120,120.900002,117.199997,120.150002,116.672897,1585980
13-04-2022,121.300003,121.449997,119.150002,119.400002,115.944595,1046324
18-04-2022,119,119,113.25,113.900002,110.603767,1959904
19-04-2022,115.650002,116.699997,111.550003,113.25,109.97258,1393250
20-04-2022,114.050003,114.5,111.449997,112.550003,109.292839,1219457
21-04-2022,114,114.449997,113.050003,113.849998,110.555214,723308
22-04-2022,113.699997,113.900002,111.199997,111.449997,108.224663,713533
25-04-2022,110.099998,112.5,109.099998,111.199997,107.981903,1077226
26-04-2022,113,115.849998,112.550003,115.449997,112.10891,1696482
27-04-2022,114.5,116.550003,112.800003,116.099998,112.740097,1000622
28-04-2022,116.550003,116.849998,114.75,115.699997,112.351669,822303
29-04-2022,115.699997,117.300003,112.349998,112.900002,109.632706,735524
02-05-2022,null,null,null,null,null,null
04-05-2022,113.099998,115.25,107.5,108.150002,105.020172,2020560
05-05-2022,109.949997,110.449997,105.400002,105.849998,102.786728,1835369
06-05-2022,104.199997,105.699997,102,104.900002,101.864227,1772211
09-05-2022,104.75,104.75,101.599998,103.25,100.261971,1205444
10-05-2022,102,105.099998,100.300003,101,98.077087,1312817
11-05-2022,101.800003,102.25,97.25,101.25,98.319855,1905421
12-05-2022,100.150002,100.25,95.449997,96.050003,93.27034,1607026
13-05-2022,97.75,99.349998,94,94.949997,92.202171,2003007
16-05-2022,96.699997,100.400002,94.550003,99.849998,96.960365,1808337
17-05-2022,100.75,102.849998,99.550003,102.300003,99.33947,1572499
18-05-2022,102.300003,102.699997,99.099998,99.449997,96.571945,1440264
19-05-2022,96.699997,97.949997,95.199997,96.400002,93.610214,1309383
20-05-2022,98.449997,99.949997,98,99.449997,96.571945,1223199
23-05-2022,99.900002,101,96.849998,97.199997,94.387054,1139690
24-05-2022,97.199997,98.300003,95.25,95.800003,93.02758,1186708
25-05-2022,96,97.599998,93,93.900002,91.182564,1605050
26-05-2022,94.900002,99.099998,92.550003,98.349998,95.503777,2313055
27-05-2022,99.050003,99.900002,98.150002,98.699997,95.843643,1187772
30-05-2022,99.900002,101.949997,99.599998,101.550003,98.611176,1399067
31-05-2022,101.050003,102.400002,99.800003,100.150002,97.251686,874690
01-06-2022,100.949997,102.449997,99.949997,101.900002,98.951042,707590
02-06-2022,102,105.849998,102,103.650002,100.650398,2333639
03-06-2022,104.800003,105.25,101.949997,102.150002,99.19381,943103
06-06-2022,102,102.5,99.25,102.050003,99.096703,893498
07-06-2022,101.650002,103.25,100.900002,101.900002,98.951042,815762
08-06-2022,102.5,105.349998,101.400002,103.5,100.504738,1562215
09-06-2022,103.199997,105.300003,102.150002,105.050003,102.009888,701104
10-06-2022,103.199997,105.449997,103,105.099998,102.058434,865130
13-06-2022,102.800003,103,98.5,99.900002,97.008926,1265475
14-06-2022,99.5,102.099998,99.199997,100.550003,97.640114,522620
15-06-2022,100.599998,102.099998,99.400002,99.949997,97.057472,535976
16-06-2022,101.699997,102.099998,97.050003,97.550003,94.726936,720946
17-06-2022,96.150002,96.800003,94,95.199997,92.444939,1319153
20-06-2022,95.199997,95.949997,89.900002,91.099998,88.463593,1425972
21-06-2022,91.849998,97.349998,91.849998,96.050003,93.27034,1340886
22-06-2022,96,96.599998,94.25,95.400002,92.639153,918370
23-06-2022,95,97.75,94.400002,96.400002,93.610214,966884
24-06-2022,96.949997,100.300003,96.650002,99.949997,97.057472,1409375
27-06-2022,101,101.75,99.550003,99.949997,97.057472,748425
28-06-2022,99.650002,101.800003,99.599998,101.449997,98.514061,584584
29-06-2022,100.699997,101.75,99.550003,101.099998,98.174194,506414
30-06-2022,101.199997,102.300003,97.099998,97.349998,94.532715,803065
01-07-2022,97.800003,97.800003,95.699997,96.900002,94.095741,764144
04-07-2022,97.650002,99.900002,97.050003,98.449997,95.600883,594024
